Ticker,NAVINFLUOR.NS,NAVINFLUOR.NS,NAVINFLUOR.NS,NAVINFLUOR.NS,NAVINFLUOR.NS,NAVINFLUOR.NS,BEML.NS,BEML.NS,BEML.NS,BEML.NS,BEML.NS,BEML.NS,MUTHOOTFIN.NS,MUTHOOTFIN.NS,MUTHOOTFIN.NS,MUTHOOTFIN.NS,MUTHOOTFIN.NS,MUTHOOTFIN.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,CIPLA.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,OBEROIRLTY.NS,TATACOMM.NS,TATACOMM.NS,TATACOMM.NS,TATACOMM.NS,TATACOMM.NS,TATACOMM.NS,APOLLOTYRE.NS,APOLLOTYRE.NS,APOLLOTYRE.NS,APOLLOTYRE.NS,APOLLOTYRE.NS,APOLLOTYRE.NS,PIIND.NS,PIIND.NS,PIIND.NS,PIIND.NS,PIIND.NS,PIIND.NS,HDFCAMC.NS,HDFCAMC.NS,HDFCAMC.NS,HDFCAMC.NS,HDFCAMC.NS,HDFCAMC.NS,SIEMENS.NS,SIEMENS.NS,SIEMENS.NS,SIEMENS.NS,SIEMENS.NS,SIEMENS.NS,BIOCON.NS,BIOCON.NS,BIOCON.NS,BIOCON.NS,BIOCON.NS,BIOCON.NS,MPHASIS.NS,MPHASIS.NS,MPHASIS.NS,MPHASIS.NS,MPHASIS.NS,MPHASIS.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,HINDALCO.NS,COFORGE.NS,COFORGE.NS,COFORGE.NS,COFORGE.NS,COFORGE.NS,COFORGE.NS,SRF.NS,SRF.NS,SRF.NS,SRF.NS,SRF.NS,SRF.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,SUNPHARMA.NS,VOLTAS.NS,VOLTAS.NS,VOLTAS.NS,VOLTAS.NS,VOLTAS.NS,VOLTAS.NS,CONCOR.NS,CONCOR.NS,CONCOR.NS,CONCOR.NS,CONCOR.NS,CONCOR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,SUZLON.NS,SUZLON.NS,SUZLON.NS,SUZLON.NS,SUZLON.NS,SUZLON.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,MAZDOCK.NS,MAZDOCK.NS,MAZDOCK.NS,MAZDOCK.NS,MAZDOCK.NS,MAZDOCK.NS,ZENSARTECH.NS,ZENSARTECH.NS,ZENSARTECH.NS,ZENSARTECH.NS,ZENSARTECH.NS,ZENSARTECH.NS,INDIGO.NS,INDIGO.NS,INDIGO.NS,INDIGO.NS,INDIGO.NS,INDIGO.NS,PIDILITIND.NS,PIDILITIND.NS,PIDILITIND.NS,PIDILITIND.NS,PIDILITIND.NS,PIDILITIND.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,IRCON.NS,IRCON.NS,IRCON.NS,IRCON.NS,IRCON.NS,IRCON.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,SBIN.NS,TATACHEM.NS,TATACHEM.NS,TATACHEM.NS,TATACHEM.NS,TATACHEM.NS,TATACHEM.NS,CUMMINSIND.NS,CUMMINSIND.NS,CUMMINSIND.NS,CUMMINSIND.NS,CUMMINSIND.NS,CUMMINSIND.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,GODREJPROP.NS,GODREJPROP.NS,GODREJPROP.NS,GODREJPROP.NS,GODREJPROP.NS,GODREJPROP.NS,DATAPATTNS.NS,DATAPATTNS.NS,DATAPATTNS.NS,DATAPATTNS.NS,DATAPATTNS.NS,DATAPATTNS.NS,LALPATHLAB.NS,LALPATHLAB.NS,LALPATHLAB.NS,LALPATHLAB.NS,LALPATHLAB.NS,LALPATHLAB.NS,INDUSTOWER.NS,INDUSTOWER.NS,INDUSTOWER.NS,INDUSTOWER.NS,INDUSTOWER.NS,INDUSTOWER.NS,RITES.NS,RITES.NS,RITES.NS,RITES.NS,RITES.NS,RITES.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,PVRINOX.NS,PVRINOX.NS,PVRINOX.NS,PVRINOX.NS,PVRINOX.NS,PVRINOX.NS,AUROPHARMA.NS,AUROPHARMA.NS,AUROPHARMA.NS,AUROPHARMA.NS,AUROPHARMA.NS,AUROPHARMA.NS,TATAELXSI.NS,TATAELXSI.NS,TATAELXSI.NS,TATAELXSI.NS,TATAELXSI.NS,TATAELXSI.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,PAGEIND.NS,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,JSWSTEEL.NS,GOLDBEES.NS,GOLDBEES.NS,GOLDBEES.NS,GOLDBEES.NS,GOLDBEES.NS,GOLDBEES.NS,OIL.NS,OIL.NS,OIL.NS,OIL.NS,OIL.NS,OIL.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,POLYCAB.NS,POLYCAB.NS,POLYCAB.NS,POLYCAB.NS,POLYCAB.NS,POLYCAB.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,ADANIENT.NS,LAURUSLABS.NS,LAURUSLABS.NS,LAURUSLABS.NS,LAURUSLABS.NS,LAURUSLABS.NS,LAURUSLABS.NS,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS,CDSL.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,TVSMOTOR.NS,TVSMOTOR.NS,TVSMOTOR.NS,TVSMOTOR.NS,TVSMOTOR.NS,TVSMOTOR.NS,BHARATFORG.NS,BHARATFORG.NS,BHARATFORG.NS,BHARATFORG.NS,BHARATFORG.NS,BHARATFORG.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,CESC.NS,CESC.NS,CESC.NS,CESC.NS,CESC.NS,CESC.NS,POONAWALLA.NS,POONAWALLA.NS,POONAWALLA.NS,POONAWALLA.NS,POONAWALLA.NS,POONAWALLA.NS,BSOFT.NS,BSOFT.NS,BSOFT.NS,BSOFT.NS,BSOFT.NS,BSOFT.NS,AARTIIND.NS,AARTIIND.NS,AARTIIND.NS,AARTIIND.NS,AARTIIND.NS,AARTIIND.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,BAJFINANCE.NS,MANAPPURAM.NS,MANAPPURAM.NS,MANAPPURAM.NS,MANAPPURAM.NS,MANAPPURAM.NS,MANAPPURAM.NS,RAILTEL.NS,RAILTEL.NS,RAILTEL.NS,RAILTEL.NS,RAILTEL.NS,RAILTEL.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,DIXON.NS,DIXON.NS,DIXON.NS,DIXON.NS,DIXON.NS,DIXON.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS,M&M.NS,HAPPSTMNDS.NS,HAPPSTMNDS.NS,HAPPSTMNDS.NS,HAPPSTMNDS.NS,HAPPSTMNDS.NS,HAPPSTMNDS.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BRITANNIA.NS,BDL.NS,BDL.NS,BDL.NS,BDL.NS,BDL.NS,BDL.NS,TECHM.NS,TECHM.NS,TECHM.NS,TECHM.NS,TECHM.NS,TECHM.NS,TRIDENT.NS,TRIDENT.NS,TRIDENT.NS,TRIDENT.NS,TRIDENT.NS,TRIDENT.NS,RVNL.NS,RVNL.NS,RVNL.NS,RVNL.NS,RVNL.NS,RVNL.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,GRSE.NS,GRSE.NS,GRSE.NS,GRSE.NS,GRSE.NS,GRSE.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,TATASTEEL.NS,IDFCFIRSTB.NS,IDFCFIRSTB.NS,IDFCFIRSTB.NS,IDFCFIRSTB.NS,IDFCFIRSTB.NS,IDFCFIRSTB.NS,IIFL.NS,IIFL.NS,IIFL.NS,IIFL.NS,IIFL.NS,IIFL.NS,SAIL.NS,SAIL.NS,SAIL.NS,SAIL.NS,SAIL.NS,SAIL.NS,BHEL.NS,BHEL.NS,BHEL.NS,BHEL.NS,BHEL.NS,BHEL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,NESTLEIND.NS,MAXHEALTH.NS,MAXHEALTH.NS,MAXHEALTH.NS,MAXHEALTH.NS,MAXHEALTH.NS,MAXHEALTH.NS,ASHOKLEY.NS,ASHOKLEY.NS,ASHOKLEY.NS,ASHOKLEY.NS,ASHOKLEY.NS,ASHOKLEY.NS,LUPIN.NS,LUPIN.NS,LUPIN.NS,LUPIN.NS,LUPIN.NS,LUPIN.NS,BATAINDIA.NS,BATAINDIA.NS,BATAINDIA.NS,BATAINDIA.NS,BATAINDIA.NS,BATAINDIA.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,MARICO.NS,MARICO.NS,MARICO.NS,MARICO.NS,MARICO.NS,MARICO.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,MON100.NS,MON100.NS,MON100.NS,MON100.NS,MON100.NS,MON100.NS,RAYMOND.NS,RAYMOND.NS,RAYMOND.NS,RAYMOND.NS,RAYMOND.NS,RAYMOND.NS,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS,PERSISTENT.NS,IEX.NS,IEX.NS,IEX.NS,IEX.NS,IEX.NS,IEX.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,SBICARD.NS,SBICARD.NS,SBICARD.NS,SBICARD.NS,SBICARD.NS,SBICARD.NS,CAMS.NS,CAMS.NS,CAMS.NS,CAMS.NS,CAMS.NS,CAMS.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS,MRF.NS,PRESTIGE.NS,PRESTIGE.NS,PRESTIGE.NS,PRESTIGE.NS,PRESTIGE.NS,PRESTIGE.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,MCX.NS,MCX.NS,MCX.NS,MCX.NS,MCX.NS,MCX.NS,ANGELONE.NS,ANGELONE.NS,ANGELONE.NS,ANGELONE.NS,ANGELONE.NS,ANGELONE.NS
Price,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-01,3246.300048828125,3291.10009765625,3202.14990234375,3280.25,3272.0390625,153236,2035.0,2064.675048828125,2030.0,2060.25,2047.080078125,198726,2131.0,2220.25,2131.0,2215.050048828125,2188.26953125,1001913,237.80999755859375,239.24000549316406,236.35000610351562,236.9499969482422,225.58221435546875,9418453,4829.0,4906.4501953125,4742.4501953125,4885.2998046875,4822.76513671875,290234,1531.949951171875,1547.8499755859375,1518.699951171875,1529.0999755859375,1512.938232421875,1578715,486.0,486.8500061035156,482.1499938964844,483.95001220703125,467.8104248046875,18229128,2321.699951171875,2325.800048828125,2262.0,2274.949951171875,2264.356689453125,347770,1710.0,1731.9000244140625,1698.949951171875,1725.6500244140625,1700.268310546875,115875.0,529.4000244140625,530.5,521.5999755859375,527.5499877929688,521.9644775390625,452770,3690.0,3700.199951171875,3647.300048828125,3691.25,3675.36669921875,92935,2099.97509765625,2108.89990234375,2072.550048828125,2081.27490234375,2042.936279296875,594116,3844.8466796875,3905.60107421875,3817.169677734375,3894.82958984375,3881.159423828125,396985,366.8999938964844,370.3500061035156,362.70001220703125,368.79998779296875,368.30755615234375,1559938,2859.449951171875,2863.949951171875,2816.89990234375,2854.89990234375,2798.971435546875,198476,601.5,603.75,587.5,592.9500122070312,588.6332397460938,9217246,1938.0,1948.989990234375,1908.5400390625,1925.7099609375,1908.204345703125,798575,2237.0,2243.5,2209.199951171875,2211.300048828125,2205.70458984375,136970.0,3248.0,3269.89990234375,3244.050048828125,3253.85009765625,3244.087158203125,357376,1889.9000244140625,1902.949951171875,1878.6500244140625,1889.949951171875,1872.464111328125,1338092,1790.0,1832.949951171875,1762.5999755859375,1826.949951171875,1816.8082275390625,831427,629.5999755859375,632.3200073242188,620.4000244140625,623.4400024414062,613.3955688476562,553843,2325.0,2337.14990234375,2320.25,2322.10009765625,2280.011474609375,559893,62.63999938964844,65.33000183105469,62.06999969482422,65.33000183105469,65.33000183105469,62229972,383.54998779296875,388.1499938964844,382.5,386.3999938964844,360.4712219238281,3584876,25710.349609375,25899.900390625,25176.099609375,25504.25,25337.18359375,16145.0,2230.0,2284.0,2220.0,2243.800048828125,2234.34765625,1981901,752.5,762.0,745.0499877929688,747.3499755859375,735.8335571289062,229158,4581.60009765625,4635.0,4552.0,4595.7001953125,4587.94677734375,425992,1452.125,1462.5,1427.5,1431.8499755859375,1422.090576171875,981050,1214.8499755859375,1226.300048828125,1211.5999755859375,1221.25,1216.391845703125,5892590,213.88999938964844,220.4499969482422,213.5,217.85000610351562,214.32594299316406,3544815,2280.0,2323.199951171875,2280.0,2304.64990234375,2280.022705078125,1067328,795.5499877929688,798.6500244140625,789.5,793.2000122070312,777.58642578125,7273098,1042.0,1048.0,1034.050048828125,1038.4000244140625,1026.5059814453125,630282,3274.0,3274.0,3222.0,3230.5,3179.7470703125,254916,10858.0,11273.9501953125,10800.2001953125,11208.2998046875,11088.287109375,383202,2800.0,2805.949951171875,2767.0,2776.699951171875,2776.699951171875,204242,2470.60009765625,2509.35009765625,2463.60009765625,2498.25,2490.77685546875,69178,2991.25,3065.0,2981.85009765625,3053.050048828125,3027.634521484375,179164,340.0,345.6499938964844,338.5,343.95001220703125,343.95001220703125,2228186,292.0,301.70001220703125,289.29998779296875,295.20001220703125,286.3451232910156,9912081,1676.5999755859375,1686.0,1666.550048828125,1680.0999755859375,1669.4180908203125,353971,1308.0,1321.8499755859375,1302.699951171875,1317.25,1317.25,209839.0,1334.8499755859375,1355.550048828125,1327.0,1353.25,1348.189208984375,949066,6810.5,6840.0,6711.60009765625,6743.75,6668.31640625,91883,47514.3984375,47900.0,47066.3515625,47788.30078125,47107.53125,9446.0,901.1500244140625,910.0,890.7000122070312,905.4500122070312,903.018310546875,1020555,65.08999633789062,65.08999633789062,64.0199966430664,64.3499984741211,64.3499984741211,9543477.0,,,,,,,,,,,,,,,,,,,,,,,,,605.0499877929688,618.0,598.0,615.6500244140625,614.3037109375,3014562,1760.4000244140625,1822.0,1752.050048828125,1808.6500244140625,1794.022705078125,2831813,886.7249755859375,897.0,880.5499877929688,891.375,879.4869995117188,7313806,,,,,,,,,,,,,1593.0,1606.550048828125,1584.050048828125,1595.699951171875,1582.470703125,1405565,1281.6500244140625,1293.0,1267.0999755859375,1283.6500244140625,1273.8211669921875,4705399,185.92999267578125,186.9499969482422,184.5,186.1199951171875,174.81346130371094,2358037,,,,,,,559.9500122070312,568.5999755859375,556.4500122070312,563.0499877929688,554.31689453125,806958,410.3500061035156,418.3999938964844,409.20001220703125,416.1000061035156,414.99365234375,861021,682.2999877929688,694.7949829101562,680.5999755859375,693.530029296875,689.27685546875,4187210,,,,,,,403.54998779296875,407.0,401.1499938964844,405.04998779296875,401.62689208984375,853646,1917.4000244140625,1936.949951171875,1907.9000244140625,1911.949951171875,1841.9107666015625,880695,17934.05078125,18050.0,17772.0,17994.19921875,17986.1953125,157078,,,,,,,734.7000122070312,738.1500244140625,723.0499877929688,725.0499877929688,717.1837768554688,269205,4752.2001953125,4819.7001953125,4752.2001953125,4794.75,4732.7275390625,87260,,,,,,,1700.5999755859375,1717.5999755859375,1691.25,1703.8499755859375,1655.9381103515625,721479,33.529998779296875,34.040000915527344,33.400001525878906,33.86000061035156,33.34898376464844,5252775,425.6499938964844,432.6499938964844,421.3999938964844,428.1000061035156,425.8741149902344,2926296,1064.1500244140625,1076.949951171875,1053.949951171875,1071.800048828125,1070.8848876953125,2985355,1612.0,1675.0,1606.0,1650.0999755859375,1633.48779296875,428606,138.10000610351562,138.4499969482422,136.5800018310547,136.74000549316406,133.6238250732422,18169498,63.290000915527344,64.55999755859375,62.7599983215332,64.19000244140625,63.9805908203125,26552067,413.54998779296875,424.29998779296875,413.5,418.25,418.25,883758,112.5199966430664,113.33000183105469,112.1500015258789,112.93000030517578,111.53213500976562,7512039,230.00999450683594,234.10000610351562,227.3300018310547,233.22999572753906,232.74093627929688,7758093,292.29998779296875,295.8999938964844,290.29998779296875,295.29998779296875,279.4674987792969,3545200,264.4700012207031,266.2799987792969,263.5,265.5899963378906,265.5899963378906,2402521.0,1085.0,1089.625,1078.6500244140625,1084.625,1073.2110595703125,908580,1128.1500244140625,1146.0,1125.300048828125,1139.5999755859375,1138.286376953125,288372,110.0,111.98999786376953,109.6050033569336,111.41000366210938,108.73685455322266,3854562,2354.0,2369.39990234375,2336.800048828125,2364.89990234375,2350.2822265625,735846,1378.0999755859375,1401.0,1372.75,1397.0,1386.446044921875,91829,300.0,303.3500061035156,298.95001220703125,300.29998779296875,288.7690734863281,7878201,636.0,648.2000122070312,634.0499877929688,644.0,634.2753295898438,1612824,4094.39990234375,4134.0,4085.449951171875,4112.4501953125,3974.20947265625,763161,212.39999389648438,212.42999267578125,210.5,212.41000366210938,212.41000366210938,492977,1676.9000244140625,1713.0,1672.199951171875,1694.0,1694.0,178925,6457.64990234375,6502.0498046875,6344.0,6436.7998046875,6398.2939453125,189395,182.5,182.5,179.69000244140625,180.22000122070312,177.3206329345703,2520879,1388.449951171875,1389.050048828125,1355.3499755859375,1369.0,1360.372314453125,1658723,4174.7998046875,4197.0,4130.0,4184.35009765625,4021.128662109375,329310,668.0,679.8499755859375,664.0,677.7999877929688,675.7809448242188,443863,5010.2001953125,5149.64990234375,4973.60009765625,5098.75,5017.62548828125,286808,130000.0,130789.25,129000.0,129374.5,129171.609375,2343,1688.300048828125,1693.949951171875,1645.5,1653.550048828125,1651.64892578125,457902,1874.0,1892.949951171875,1874.0,1882.5,1828.3900146484375,1838368,6240.0,6299.2001953125,6180.5,6286.10009765625,6262.18359375,163387,2950.0,3042.0,2932.550048828125,3017.449951171875,2963.8115234375,1591437
